round,intervention_id,kind,logical_chunk_id,operation,order,coefficient,rank,status
0,chunk-27a7e5bb9344,current,chunk-27a7e5bb9344,,1,0.027016475399560255,6,selected
0,chunk-a9e98e128a35,current,chunk-a9e98e128a35,,2,0.015260273770068864,7,selected
0,online-6f027bfd79ba53d1,candidate,chunk-a9e98e128a35,REWRITE,2,-0.011501579441953475,,rewrite_loser
0,chunk-a71a5634ee99,current,chunk-a71a5634ee99,,3,-0.04429770323675106,15,retired
0,chunk-4d958fc1d69e,current,chunk-4d958fc1d69e,,4,-0.01727725722409583,9,retired
0,chunk-bbe6cb9408eb,current,chunk-bbe6cb9408eb,,5,0.04113563630357464,3,selected
0,chunk-d3a9ac5af7ef,current,chunk-d3a9ac5af7ef,,6,-0.009775016135141777,8,retired
0,chunk-b64b0567ce98,current,chunk-b64b0567ce98,,7,-0.023775787387546835,11,retired
0,chunk-f58e352cdad0,current,chunk-f58e352cdad0,,8,-0.032252138197153765,13,retired
0,chunk-c83ed5ae8b70,current,chunk-c83ed5ae8b70,,9,0.03642437192101195,4,selected
0,chunk-1f8d27322e9f,current,chunk-1f8d27322e9f,,10,0.04670235093096396,2,selected
0,online-43fef639d72271bd,candidate,online-43fef639d72271bd,ADD,11,-0.03292912083600022,14,non_positive
0,online-8e3e179b9270814a,candidate,online-8e3e179b9270814a,ADD,12,0.03368315918029599,5,selected
0,online-9f5ef47f8e1b2bee,candidate,online-9f5ef47f8e1b2bee,ADD,13,-0.022683545495646117,10,non_positive
0,online-bbef274e1764d953,candidate,online-bbef274e1764d953,ADD,14,0.07390903939347465,1,selected
0,online-bf7be6b73666b096,candidate,online-bf7be6b73666b096,ADD,15,-0.029030536009663967,12,non_positive
1,chunk-27a7e5bb9344,current,chunk-27a7e5bb9344,,1,-0.049147154667745066,,rewrite_loser
1,online-d38a7747e90af2ea,candidate,chunk-27a7e5bb9344,REWRITE,1,-0.00029705021774219774,6,non_positive
1,chunk-a9e98e128a35,current,chunk-a9e98e128a35,,2,0.0014559159441960966,,rewrite_loser
1,online-6219af890a10d20b,candidate,chunk-a9e98e128a35,REWRITE,2,0.017630555816839588,5,selected
1,chunk-bbe6cb9408eb,current,chunk-bbe6cb9408eb,,3,-0.05570506885669468,,rewrite_loser
1,online-dd4efe7de728c22f,candidate,chunk-bbe6cb9408eb,REWRITE,3,-0.05534849294039658,8,non_positive
1,chunk-c83ed5ae8b70,current,chunk-c83ed5ae8b70,,4,0.007376134179153529,,rewrite_loser
1,online-fec6c929a99f4485,candidate,chunk-c83ed5ae8b70,REWRITE,4,0.07611594067371895,1,selected
1,chunk-1f8d27322e9f,current,chunk-1f8d27322e9f,,5,-0.0011574797633655393,,rewrite_loser
1,online-6868822a9e482a75,candidate,chunk-1f8d27322e9f,REWRITE,5,0.022425922121432726,4,selected
1,online-8e3e179b9270814a,current,online-8e3e179b9270814a,,6,0.033847840648627184,3,selected
1,online-bbef274e1764d953,current,online-bbef274e1764d953,,7,0.04165411512595054,2,selected
1,online-0652eed3b5940c63,candidate,online-0652eed3b5940c63,ADD,8,-0.013409194598912743,7,non_positive
2,chunk-a9e98e128a35,current,chunk-a9e98e128a35,,1,0.03454176640368547,2,selected
2,online-3ecf80b7f878e511,candidate,chunk-a9e98e128a35,REWRITE,1,-0.026339073623671758,,rewrite_loser
2,chunk-c83ed5ae8b70,current,chunk-c83ed5ae8b70,,2,0.03516256869010673,1,selected
2,chunk-1f8d27322e9f,current,chunk-1f8d27322e9f,,3,-0.025781528237318826,,rewrite_loser
2,online-5592406a6a90ea8f,candidate,chunk-1f8d27322e9f,REWRITE,3,0.024429093792546097,4,selected
2,online-8e3e179b9270814a,current,online-8e3e179b9270814a,,4,0.025302718849802147,3,selected
2,online-bbef274e1764d953,current,online-bbef274e1764d953,,5,-0.043857818731862445,9,retired
2,online-214dfd1028dc4157,candidate,online-214dfd1028dc4157,ADD,6,0.005980797828265006,7,selected
2,online-3297dc4c0f4f6109,candidate,online-3297dc4c0f4f6109,ADD,7,0.004661495181177309,8,selected
2,online-3d2cdd6a2aac9717,candidate,online-3d2cdd6a2aac9717,ADD,8,0.007112882101501248,6,selected
2,online-ea5dd903b14ec0fc,candidate,online-ea5dd903b14ec0fc,ADD,9,0.010011736308465016,5,selected
3,chunk-a9e98e128a35,current,chunk-a9e98e128a35,,1,0.037843742364023714,1,selected
3,online-88a7d5647f31225e,candidate,chunk-a9e98e128a35,REWRITE,1,-0.042017277075431986,,rewrite_loser
3,chunk-c83ed5ae8b70,current,chunk-c83ed5ae8b70,,2,0.01120175876348241,7,selected
3,chunk-1f8d27322e9f,current,chunk-1f8d27322e9f,,3,-0.06742032961869565,,rewrite_loser
3,online-ab35490ec83d1bb6,candidate,chunk-1f8d27322e9f,REWRITE,3,0.023233049804864594,5,selected
3,online-8e3e179b9270814a,current,online-8e3e179b9270814a,,4,0.029436319016921043,2,selected
3,online-214dfd1028dc4157,current,online-214dfd1028dc4157,,5,0.022900414189135503,6,selected
3,online-3297dc4c0f4f6109,current,online-3297dc4c0f4f6109,,6,-0.03504004383227178,9,retired
3,online-3d2cdd6a2aac9717,current,online-3d2cdd6a2aac9717,,7,0.028513199380076126,3,selected
3,online-ea5dd903b14ec0fc,current,online-ea5dd903b14ec0fc,,8,0.027227215917957577,4,selected
3,online-33daeea7aa6a25ab,candidate,online-33daeea7aa6a25ab,ADD,9,-0.05078994213170257,10,non_positive
3,online-ebb64d6b2cfaaa2a,candidate,online-ebb64d6b2cfaaa2a,ADD,10,0.01081445054549855,8,selected
