round,group_index,mode,classification,all_wrong,rollouts,scored,reward_mean,success_mean,retry_present
0,0,skill_free,environment_or_runtime_error,0,8,3,1.0,1.0,0
0,1,assisted,environment_or_runtime_error,0,8,7,0.14285714285714285,0.14285714285714285,0
0,2,assisted,environment_or_runtime_error,0,8,6,0.4166666666666667,0.16666666666666666,0
0,3,assisted,environment_or_runtime_error,0,8,7,0.7142857142857143,0.7142857142857143,0
0,4,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,5,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,6,skill_free,full_skill_failure_pending_analysis,1,8,8,0.3333333333333333,0.0,1
0,7,assisted,not_frontier,0,8,8,0.125,0.125,0
0,8,assisted,not_frontier,0,8,8,0.125,0.125,0
0,9,assisted,not_frontier,0,8,8,0.25,0.25,0
0,10,assisted,not_frontier,0,8,8,0.25,0.25,0
0,11,assisted,not_frontier,0,8,8,1.0,1.0,0
0,12,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,13,assisted,not_frontier,0,8,8,1.0,1.0,0
0,14,assisted,not_frontier,0,8,8,0.375,0.375,0
0,15,assisted,not_frontier,0,8,8,1.0,1.0,0
0,16,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,17,assisted,not_frontier,0,8,8,0.375,0.375,0
0,18,assisted,not_frontier,0,8,8,1.0,1.0,0
0,19,assisted,not_frontier,0,8,8,1.0,1.0,0
0,20,assisted,not_frontier,0,8,8,1.0,1.0,0
0,21,assisted,not_frontier,0,8,8,0.375,0.375,0
0,22,assisted,not_frontier,0,8,8,0.875,0.875,0
0,23,assisted,not_frontier,0,8,8,0.875,0.875,0
0,24,assisted,not_frontier,0,8,8,0.75,0.75,0
0,25,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,26,assisted,not_frontier,0,8,8,1.0,1.0,0
0,27,assisted,not_frontier,0,8,8,1.0,1.0,0
0,28,assisted,not_frontier,0,8,8,0.7708333333333333,0.625,0
0,29,assisted,not_frontier,0,8,8,0.25,0.25,0
0,30,assisted,not_frontier,0,8,8,0.875,0.875,0
0,31,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,32,assisted,not_frontier,0,8,8,1.0,1.0,0
0,33,skill_free,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,34,assisted,full_skill_failure_pending_analysis,1,8,8,0.10416666666666667,0.0,1
0,35,skill_free,not_frontier,0,8,8,0.625,0.625,0
0,36,assisted,not_frontier,0,8,8,0.8194444444444444,0.75,0
0,37,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,38,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,39,assisted,not_frontier,0,8,8,1.0,1.0,0
0,40,assisted,not_frontier,0,8,8,1.0,1.0,0
0,41,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,42,assisted,not_frontier,0,8,8,1.0,1.0,0
0,43,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,44,assisted,not_frontier,0,8,8,0.25,0.25,0
0,45,assisted,not_frontier,0,8,8,1.0,1.0,0
0,46,assisted,not_frontier,0,8,8,0.75,0.75,0
0,47,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,48,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,49,skill_free,not_frontier,0,8,8,0.8125,0.75,0
0,50,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,51,assisted,not_frontier,0,8,8,0.125,0.125,0
0,52,assisted,not_frontier,0,8,8,1.0,1.0,0
0,53,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,54,assisted,not_frontier,0,8,8,0.125,0.125,0
0,55,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,56,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,57,assisted,not_frontier,0,8,8,0.125,0.125,0
0,58,assisted,not_frontier,0,8,8,0.75,0.75,0
0,59,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,60,assisted,not_frontier,0,8,8,1.0,1.0,0
0,61,assisted,not_frontier,0,8,8,1.0,1.0,0
0,62,assisted,not_frontier,0,8,8,0.25,0.25,0
0,63,assisted,not_frontier,0,8,8,0.125,0.125,0
0,64,assisted,not_frontier,0,8,8,1.0,1.0,0
0,65,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,66,assisted,not_frontier,0,8,8,1.0,1.0,0
0,67,assisted,not_frontier,0,8,8,1.0,1.0,0
0,68,assisted,not_frontier,0,8,8,1.0,1.0,0
0,69,skill_free,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,70,assisted,not_frontier,0,8,8,0.625,0.625,0
0,71,skill_free,not_frontier,0,8,8,0.625,0.625,0
0,72,assisted,not_frontier,0,8,8,0.21875,0.125,0
0,73,assisted,not_frontier,0,8,8,0.125,0.125,0
0,74,assisted,not_frontier,0,8,8,0.20833333333333331,0.125,0
0,75,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,76,assisted,not_frontier,0,8,8,0.625,0.625,0
0,77,assisted,not_frontier,0,8,8,1.0,1.0,0
0,78,assisted,not_frontier,0,8,8,0.875,0.875,0
0,79,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,80,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,81,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,82,assisted,not_frontier,0,8,8,1.0,1.0,0
0,83,assisted,not_frontier,0,8,8,0.125,0.125,0
0,84,assisted,not_frontier,0,8,8,0.75,0.75,0
0,85,assisted,not_frontier,0,8,8,0.6875,0.5,0
