update,train_step,step,round,train/loss,train/step,train/lr-pg_1,train/lr-pg_0,train/grad_norm,train/ppo_kl,train/entropy_loss,train/pg_loss,train/train_rollout_logprob_abs_diff,train/global_batch_size,train/pg_clipfrac
1,2,1,0,-1.5832483768463135e-08,2,1e-06,1e-06,1.5716050934419454,0,0.18806378543376923,-1.5832483768463135e-08,0.009453191421926022,64,0
2,3,1,0,0.0001513175666332245,3,1e-06,1e-06,1.5798214396245585,-4.9009613576345146e-06,0.1946052759885788,0.0001513175666332245,0.010037851519882679,64,0.001969448523595929
3,4,2,0,-1.3969838619232178e-08,4,1e-06,1e-06,1.6049983688298668,0,0.1950695812702179,-1.3969838619232178e-08,0.011565715074539185,64,0
4,5,2,0,0.00022393465042114258,5,1e-06,1e-06,2.000693916103875,4.533681203611195e-05,0.21762660145759583,0.00022393465042114258,0.011645268648862839,64,0.002885817550122738
5,6,3,0,7.450580596923828e-09,6,1e-06,1e-06,1.8467069287966291,0,0.20660385489463806,7.450580596923828e-09,0.01066572591662407,64,0
6,7,3,0,0.0005662236362695694,7,1e-06,1e-06,1.7945008889379714,0.000541273970156908,0.2019944190979004,0.0005662236362695694,0.01091139018535614,64,0.0041798921301960945
7,8,4,0,-1.30385160446167e-08,8,1e-06,1e-06,1.680135835651098,0,0.18698650598526,-1.30385160446167e-08,0.010189298540353775,64,0
8,9,4,0,0.0001058848574757576,9,1e-06,1e-06,1.245910918117503,-4.820346657652408e-05,0.1880761682987213,0.0001058848574757576,0.010209959000349045,64,0.0008586939075030386
9,10,5,0,1.4901161193847656e-08,10,1e-06,1e-06,1.900806910682247,0,0.18700279295444489,1.4901161193847656e-08,0.010394353419542313,64,0
10,11,5,0,0.0004104822874069214,11,1e-06,1e-06,1.8072337893435626,0.00020537880482152104,0.17268969118595123,0.0004104822874069214,0.009429998695850372,64,0.0021267938427627087
11,12,6,0,-1.1175870895385742e-08,12,1e-06,1e-06,1.7544105671320425,0,0.19069011509418488,-1.1175870895385742e-08,0.010394438169896603,64,0
12,13,6,0,0.0005107056349515915,13,1e-06,1e-06,1.877149113198622,0.0007192570483312011,0.17904925346374512,0.0005107056349515915,0.009693820029497147,64,0.0028704700525850058
13,14,7,0,0,14,1e-06,1e-06,2.0887227982690844,0,0.2002553939819336,0,0.010787541046738625,64,0
