step,round,run_id,rollout/response_len/median,rollout/dynamic_filter/drop_shopsim_zero_std_group,rollout/shopsim/strict_reward_mean,rollout/shopsim/chunk/chunk-b64b0567ce98/target_rho,rollout/shopsim/chunk/chunk-a9e98e128a35/inclusion_rate,rollout/shopsim/rho_mean,rollout/shopsim/train_group_count,rollout/shopsim/scored_rate,rollout/shopsim/q,rollout/shopsim/train_trajectory_count,rollout/shopsim/chunk/chunk-4d958fc1d69e/target_rho,rollout/shopsim/chunk/chunk-27a7e5bb9344/inclusion_rate,rollout/shopsim/full_skill_retry_rate,rollout/shopsim/chunk/chunk-d3a9ac5af7ef/inclusion_rate,rollout/avg_cached_tokens_per_sample,rollout/shopsim/zero_std_group_drop_rate,rollout/shopsim/chunk/chunk-4d958fc1d69e/inclusion_rate,rollout/truncated_ratio,rollout/step,rollout/shopsim/reward_mean,rollout/shopsim/chunk/chunk-f58e352cdad0/target_rho,perf/longest_effective_sample_tokens_per_sec,rollout/shopsim/chunk/chunk-a71a5634ee99/target_rho,rollout/response_len/min,rollout/response_len/mean,rollout/shopsim/chunk/chunk-a71a5634ee99/inclusion_rate,perf/rollout_time,rollout/shopsim/success_rate,rollout/shopsim/rho_max,rollout/shopsim/pending_analysis_rate,rollout/shopsim/runtime_error_group_rate,rollout/shopsim/all_wrong_group_rate,rollout/shopsim/chunk/chunk-d3a9ac5af7ef/target_rho,rollout/shopsim/chunk/chunk-bbe6cb9408eb/target_rho,perf/longest_sample_tokens_per_sec,rollout/shopsim/zero_std_group_drop_count,rollout/shopsim/full_skill_retry_success_rate,rollout/shopsim/chunk/chunk-27a7e5bb9344/target_rho,rollout/shopsim/skills_per_assisted_group_mean,rollout/shopsim/group_count,rollout/shopsim/chunk/chunk-1f8d27322e9f/inclusion_rate,rollout/shopsim/chunk/chunk-b64b0567ce98/inclusion_rate,rollout/shopsim/chunk/chunk-bbe6cb9408eb/inclusion_rate,rollout/shopsim/chunk/chunk-f58e352cdad0/inclusion_rate,perf/tokens_per_gpu_per_sec,rollout/shopsim/chunk/chunk-a9e98e128a35/target_rho,rollout/shopsim/trajectory_count,rollout/response_len/max,rollout/shopsim/chunk/chunk-1f8d27322e9f/target_rho,rollout/shopsim/assisted_empty_group_rate,rollout/prefix_cache_hit_rate,rollout/repetition_frac,rollout/shopsim/technical_group_drop_count,rollout/shopsim/internalization_deficit_rate,rollout/shopsim/chunk/chunk-c83ed5ae8b70/target_rho,rollout/shopsim/rho_min,rollout/dynamic_filter/drop_shopsim_unscored_technical_group,rollout/shopsim/skill_free_group_rate,rollout/shopsim/technical_group_drop_rate,rollout/shopsim/chunk/chunk-c83ed5ae8b70/inclusion_rate,perf/effective_tokens_per_gpu_per_sec,rollout/log_probs,rollout/returns,rollout/raw_reward,rollout/kl,rollout/rewards,rollout/rollout_log_probs,rollout/total_lengths,rollout/advantages,rollout/response_lengths,rollout/truncated,perf/actor_train_tok_per_s,perf/sleep_time,perf/data_preprocess_time,perf/wait_time_ratio,perf/log_probs_time,perf/train_time,perf/wake_up_time,perf/train_wait_time,perf/actor_train_time,perf/step_time,perf/actor_train_tflops,perf/log_probs_tflops,perf/update_weights_time,rollout/zero_std/count_0.0,rollout/zero_std/count_0.7,rollout/zero_std/count_1.0,rollout/zero_std/count_0.5,rollout/shopsim/chunk/online-bbef274e1764d953/inclusion_rate,rollout/shopsim/chunk/online-8e3e179b9270814a/inclusion_rate,rollout/shopsim/chunk/online-bbef274e1764d953/target_rho,rollout/shopsim/chunk/online-8e3e179b9270814a/target_rho,rollout/zero_std/count_0.4,rollout/shopsim/chunk/online-214dfd1028dc4157/target_rho,rollout/shopsim/chunk/online-3297dc4c0f4f6109/target_rho,rollout/shopsim/chunk/online-3297dc4c0f4f6109/inclusion_rate,rollout/shopsim/chunk/online-214dfd1028dc4157/inclusion_rate,rollout/shopsim/chunk/online-ea5dd903b14ec0fc/target_rho,rollout/shopsim/chunk/online-3d2cdd6a2aac9717/target_rho,rollout/shopsim/chunk/online-3d2cdd6a2aac9717/inclusion_rate,rollout/shopsim/chunk/online-ea5dd903b14ec0fc/inclusion_rate
1,0,8ov14yyc,253,12,0.5843454790823213,0.38162078131953847,0.23076923076923078,0.44903167489954565,16,0.96484375,0.2,128,0.26310000301127795,0.5,0.09375,0.46153846153846156,0,0.42857142857142855,0.38461538461538464,0.17654808959156784,1,0.5843454790823213,0.8999999999999999,8.016749281502413,0.2002050350677727,47,337.3017127799736,0.11538461538461539,288.39619636535645,0.562753036437247,0.8999999999999999,0.09375,0.125,0.10714285714285714,0.5174498242544147,0.49059913361494567,8.016749281502413,12,0,0.4733805357216591,4.538461538461538,32,0.8076923076923077,0.23076923076923078,0.3076923076923077,0.9615384615384616,221.9273374844286,0.2001840055744324,256,2312,0.5796673375052258,0,0,0,4,0,0.48411009292619,0.2001840055744324,4,0.1875,0.2,0.5384615384615384,221.9273374844286,-0.19044086337089539,-5.587935447692871e-09,0.35111989459815546,0,-0.12082328611054753,-0.18988516926765442,7767.442687747036,-5.587935447692871e-09,337.3017127799736,0.17654808959156784,13393.775002992987,3.088714838027954,0.11687445640563965,0.34331557812307995,120.5582013130188,561.309506893158,2.1805977821350098,293.4534327983856,440.16634583473206,854.7629396915436,102.01074000109944,124.14942650976671,1.7349004745483398,,,,,,,,,,,,,,,,,
2,0,8ov14yyc,239.5,16,0.5230034722222222,0.38162078131953847,0.20833333333333334,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.5,0.25,0.5833333333333334,0,0.5,0.3333333333333333,0.3668032786885246,2,0.5230034722222222,0.8999999999999999,14.062823626671815,0.2002050350677727,23,308.0686475409836,0.16666666666666666,291.26440811157227,0.515625,0.8999999999999999,0.1875,0,0.25,0.5174498242544147,0.49059913361494567,14.062823626671815,16,0.25,0.4733805357216591,4.791666666666667,32,0.6666666666666666,0.4166666666666667,0.5416666666666666,0.9166666666666666,258.07736169125656,0.2001840055744324,256,4096,0.5796673375052258,0,0,0,,0.0625,0.48411009292619,0.2001840055744324,,0.25,,0.4583333333333333,258.07736169125656,-0.20873617380857468,1.862645149230957e-09,0.25967668488160295,0,-0.21369923541291816,-0.20742356777191162,9558.578893442624,1.862645149230957e-09,308.0686475409836,0.3668032786885246,13251.109144790933,13.372366905212402,0.14818835258483887,0.2617174011747809,185.3799226284027,890.229240655899,7.296461343765259,315.58170771598816,704.0295946598053,1205.8109483718872,106.78051195971805,135.175804525606,1.7194387912750244,1,,,,,,,,,,,,,,,,
3,0,8ov14yyc,276.5,16,0.5738932291666666,0.38162078131953847,0.25925925925925924,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.48148148148148145,0.1875,0.6296296296296297,0,0.5,0.25925925925925924,0.21031746031746032,3,0.5738932291666666,0.8999999999999999,14.698668590364575,0.2002050350677727,33,341.8862433862434,0.2962962962962963,278.66469502449036,0.5625,0.8999999999999999,0.15625,0,0.1875,0.5174498242544147,0.49059913361494567,14.698668590364575,16,0.16666666666666666,0.4733805357216591,4.888888888888889,32,0.5185185185185185,0.48148148148148145,0.48148148148148145,1,231.87903295148746,0.2001840055744324,256,4096,0.5796673375052258,0,0,0,,0.03125,0.48411009292619,0.2001840055744324,,0.15625,,0.48148148148148145,231.87903295148746,-0.20363140851259232,3.5390257835388184e-08,0.42829585537918874,0,-0.1422389942817587,-0.20278357714414597,8056.920634920635,3.5390257835388184e-08,341.8862433862434,0.21031746031746032,13412.286567453591,12.906272411346436,0.11009931564331055,0.34463394137818965,118.868492603302,574.347496509552,7.08655309677124,302.0291314125061,454.13822388648987,876.3766279220581,103.41141896171864,131.69477492404354,1.736161470413208,,,,,,,,,,,,,,,,,
4,0,8ov14yyc,242,16,0.5943080357142857,0.38162078131953847,0.16666666666666666,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.5833333333333334,0.28125,0.7083333333333334,0,0.5,0.16666666666666666,0.16290726817042606,4,0.5943080357142857,0.8999999999999999,8.419898733959688,0.2002050350677727,50,320.85588972431077,0.16666666666666666,259.3855423927307,0.58984375,0.8999999999999999,0.21875,0,0.28125,0.5174498242544147,0.49059913361494567,8.419898733959688,16,0.2222222222222222,0.4733805357216591,4.333333333333333,32,0.625,0.3333333333333333,0.375,0.8333333333333334,246.77840333553573,0.2001840055744324,256,2184,0.5796673375052258,0,0,0,,0.0625,0.48411009292619,0.2001840055744324,,0.25,,0.375,246.77840333553573,-0.1887982040643692,1.4901161193847656e-08,0.33154314357321873,0,-0.15889760089996166,-0.18809824436903,8063.015037593985,1.4901161193847656e-08,320.85588972431077,0.16290726817042606,13448.728609649675,12.474005937576294,0.11857819557189941,0.3171860337593439,127.01587128639221,607.8104777336121,7.207159519195557,282.34483218193054,478.4308009147644,890.1553099155426,103.8234029673303,130.35723628416028,1.7250373363494873,4,,,,,,,,,,,,,,,,
5,0,8ov14yyc,228.5,16,0.4833984375,0.38162078131953847,0.18518518518518517,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.37037037037037035,0.3125,0.4444444444444444,0,0.5,0.2962962962962963,0.19444444444444445,5,0.4833984375,0.8999999999999999,13.208522605932743,0.2002050350677727,43,311.92270531400965,0.07407407407407407,310.1028118133545,0.46875,0.8999999999999999,0.25,0,0.3125,0.5174498242544147,0.49059913361494567,13.208522605932743,16,0.2,0.4733805357216591,4.518518518518518,32,0.5925925925925926,0.48148148148148145,0.5185185185185185,0.9629629629629629,208.2148163134437,0.2001840055744324,256,4096,0.5796673375052258,0,0,0,,0.0625,0.48411009292619,0.2001840055744324,,0.15625,,0.5925925925925926,208.2148163134437,-0.17881229519844055,-7.450580596923828e-09,0.4359903381642512,0,-0.14941632243746145,-0.17794599384069443,8165.251207729469,-7.450580596923828e-09,311.92270531400965,0.19444444444444445,13419.081144494183,12.806060075759888,0.11535072326660156,0.34311143625679574,133.74723076820374,638.6231067180634,7.215295076370239,333.5708725452423,503.82197761535645,972.1939792633057,103.1221275157824,129.48603103154483,1.716897964477539,1,,,,,,,,,,,,,,,,
6,0,8ov14yyc,251.5,5,0.7318948412698413,0.38162078131953847,0.2777777777777778,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.2777777777777778,0,0.7222222222222222,0,0.23809523809523808,0.3333333333333333,0.1032258064516129,6,0.7318948412698413,0.8999999999999999,10.166804044032059,0.2002050350677727,68,314.0838709677419,0.1111111111111111,161.6043736934662,0.7261904761904762,0.8999999999999999,0,0,0,0.5174498242544147,0.49059913361494567,10.166804044032059,5,,0.4733805357216591,4.5,21,0.6111111111111112,0.16666666666666666,0.6666666666666666,0.8888888888888888,301.2480348603851,0.2001840055744324,168,1643,0.5796673375052258,0,0,0,,0,0.48411009292619,0.2001840055744324,,0.14285714285714285,,0.4444444444444444,301.2480348603851,-0.1854403093457222,7.450580596923828e-09,0.5768481182795698,0,-0.15200128882162034,-0.18465670198202133,6358.995161290322,7.450580596923828e-09,314.0838709677419,0.1032258064516129,13593.931344994806,12.84454870223999,0.08673644065856934,0.33438673351714066,76.97732043266296,367.8185646533966,7.271016836166382,184.78244733810425,290.0247838497162,552.6010119915009,98.42216838837605,123.60726489489925,1.7390408515930176,,,,,,,,,,,,,,,,,
7,0,8ov14yyc,233,14,0.7708333333333334,0.38162078131953847,0.30434782608695654,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.391304347826087,0.06666666666666667,0.4782608695652174,0,0.4666666666666667,0.2608695652173913,0.05790960451977401,7,0.7708333333333334,0.8999999999999999,10.202028070580793,0.2002050350677727,47,284.47457627118644,0.391304347826087,214.17310214042664,0.7666666666666667,0.8999999999999999,0.06666666666666667,0,0.06666666666666667,0.5174498242544147,0.49059913361494567,10.202028070580793,14,0,0.4733805357216591,4.782608695652174,30,0.7391304347826086,0.30434782608695654,0.4782608695652174,1,235.09955030200646,0.2001840055744324,240,2185,0.5796673375052258,0,0,0,,0,0.48411009292619,0.2001840055744324,,0.23333333333333334,,0.43478260869565216,235.09955030200646,-0.19231530278921127,0,0.6384180790960452,0,-0.10647217908316413,-0.1916174367070198,6833.632768361582,0,284.47457627118644,0.05790960451977401,13515.574324956322,12.566070318222046,0.0993814468383789,0.34377412285294234,94.32879614830017,452.84996819496155,7.283186912536621,237.232492685318,357.97309708595276,690.0824608802795,99.06928203313376,125.32100186998127,1.7101953029632568,,,,,,,,,,,,,,,,,
8,0,8ov14yyc,197,16,0.57421875,0.38162078131953847,0.1111111111111111,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.37037037037037035,0.15625,0.5185185185185185,0,0.5,0.37037037037037035,0.30221703617269546,8,0.57421875,0.8999999999999999,4.482839573560717,0.2002050350677727,45,260.51458576429405,0.2962962962962963,295.12543964385986,0.57421875,0.8999999999999999,0.15625,0,0.15625,0.5174498242544147,0.49059913361494567,4.482839573560717,16,0,0.4733805357216591,4.444444444444445,32,0.5555555555555556,0.2222222222222222,0.4074074074074074,0.9259259259259259,189.12381822236193,0.2001840055744324,256,1323,0.5796673375052258,0,0,0,,0,0.48411009292619,0.2001840055744324,,0.15625,,0.6666666666666666,189.12381822236193,-0.19516681134700775,1.862645149230957e-09,0.30921820303383896,0,-0.014657780058603721,-0.1943315789103508,8711.091015169195,1.862645149230957e-09,260.51458576429405,0.30221703617269546,13331.484522764127,12.51859712600708,0.11943745613098145,0.3098662777721318,147.38830542564392,708.109414100647,6.971951007843018,317.93726539611816,559.9830226898193,1026.0466794967651,105.57641427264927,133.70802931846072,1.703934907913208,1,,,,,,,,,,,,,,,,
9,0,8ov14yyc,203.5,15,0.6127016129032258,0.38162078131953847,0.38461538461538464,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.5,0.16129032258064516,0.5384615384615384,0,0.4838709677419355,0.23076923076923078,0.2647058823529412,9,0.6127016129032258,0.8999999999999999,6.311533260847008,0.2002050350677727,10,278.8602941176471,0.34615384615384615,224.8265106678009,0.6088709677419355,0.8999999999999999,0.16129032258064516,0,0.16129032258064516,0.5174498242544147,0.49059913361494567,6.311533260847008,15,0,0.4733805357216591,4.769230769230769,31,0.5769230769230769,0.19230769230769232,0.6923076923076923,0.9615384615384616,253.0284343738084,0.2001840055744324,248,1419,0.5796673375052258,0,0,0,,0,0.48411009292619,0.2001840055744324,,0.16129032258064516,,0.34615384615384615,253.0284343738084,-0.17516595125198364,-7.450580596923828e-09,0.37066993464052284,0,-0.15117569603756362,-0.17387615889310837,8103.524509803921,-7.450580596923828e-09,278.8602941176471,0.2647058823529412,13363.047306224207,12.554746389389038,0.1154632568359375,0.28355729301056776,130.5078706741333,626.1998240947723,7.15744948387146,247.84051156044006,494.83294105529785,874.0403356552124,103.55064242672432,130.87401976984708,1.7218284606933594,,,,,,,,,,,,,,,,,
10,0,8ov14yyc,218.5,16,0.6733668154761905,0.38162078131953847,0.23076923076923078,0.44903167489954565,16,1,0.2,128,0.26310000301127795,0.34615384615384615,0.1875,0.6153846153846154,0,0.5,0.2692307692307692,0.05014749262536873,10,0.6733668154761905,0.8999999999999999,22.10669119898411,0.2002050350677727,59,292.3200589970501,0.23076923076923078,185.28326845169067,0.6328125,0.8999999999999999,0.1875,0,0.1875,0.5174498242544147,0.49059913361494567,22.10669119898411,16,0,0.4733805357216591,4.884615384615385,32,0.5384615384615384,0.5,0.6153846153846154,0.9615384615384616,267.4189116699376,0.2001840055744324,256,4096,0.5796673375052258,0,0,0,,0,0.48411009292619,0.2001840055744324,,0.1875,,0.5769230769230769,267.4189116699376,-0.17175283282995224,0.003725258633494377,0.5326309874982441,0,-0.012942746237667613,-0.17094164341688156,6124.069321533923,0.003725258633494377,292.3200589970501,0.05014749262536873,13630.84679488102,12.728774785995483,0.09020853042602539,0.3512057229901636,79.30752444267273,384.70793986320496,7.076560974121094,208.250342130661,304.61196303367615,592.958281993866,95.57724300996948,122.36742065863066,1.730684757232666,1,1,1,,,,,,,,,,,,,,
